strain	reason	clock_deviation	date	date_submitted	country	Nextstrain_clade	pango_lineage	missing_data	divergence	rare_mutations	submitting_lab
Indonesia/AC-NIHRD-WGS09268/2021	clock_filter_old	17.0	2021-05-19	2021-08-13	Indonesia	21J (Delta)	AY.23	12.0	51.0	20.0	National Institute of Health Research and Development
Indonesia/BA-NIHRD-WGS00684/2021	clock_plus_rare	14.0	2021-01-07	2021-05-16	Indonesia	20A	B.1.466.2	19.0	35.0	28.0	National Institute of Health Research and Development
Indonesia/BA-NIHRD-WGS00696/2021	clock_plus_rare	14.0	2021-01-10	2021-05-05	Indonesia	20A	B.1	0.0	35.0	29.0	National Institute of Health Research and Development
Indonesia/BA-NIHRD-WGS00715/2021	clock_filter_old	17.0	2021-01-20	2021-05-16	Indonesia	20B	B.1.214.2	0.0	41.0	17.0	National Institute of Health Research and Development
Indonesia/BA-NIHRD-WGS00730/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	69.0	2021-01-26	2021-03-16	Indonesia	20B	B.1.1.363	0.0	93.0	86.0	National Institute of Health Research and Development
Indonesia/BA-NIHRD-WGS00740/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	106.0	2021-01-28	2021-03-17	Indonesia	20B	B.1.533	30.0	130.0	124.0	National Institute of Health Research and Development
Indonesia/BA-NIHRD-WGS02468/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	140.0	2021-04-03	2021-05-05	Indonesia	20A	B.1.22.1	0.0	166.0	162.0	National Institute of Health Research and Development
Indonesia/BA-NIHRD-WGS03503/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	63.0	2021-04-16	2021-08-09	Indonesia	20A	B.1.470	215.0	90.0	83.0	National Institute of Health Research and Development
Indonesia/BA-NIHRD-WGS04802/2021	clock_plus_rare	12.0	2021-03-08	2021-06-19	Indonesia	20A	B.1.466.2	68.0	36.0	29.0	National Institute of Health Research and Development
Indonesia/BA-NIHRD-WGS06671/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	142.0	2021-05-17	2021-07-13	Indonesia	21A (Delta)	AY.23	0.0	171.0	157.0	National Institute of Health Research and Development
Indonesia/BA-NIHRD-WGS06672/2021	clock_filter_recent,clock_filter_old,clock_plus_rare	25.0	2021-05-17	2021-07-13	Indonesia	21J (Delta)	AY.23	0.0	59.0	35.0	National Institute of Health Research and Development
Indonesia/BA-NIHRD-WGS06673/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	123.0	2021-05-17	2021-07-20	Indonesia	20A	AY.23	0.0	151.0	145.0	National Institute of Health Research and Development
Indonesia/BA-NIHRD-WGS06674/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	98.0	2021-05-18	2021-07-13	Indonesia	20A	AY.23	0.0	126.0	122.0	National Institute of Health Research and Development
Indonesia/BA-NIHRD-WGS06675/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	151.0	2021-05-18	2021-07-20	Indonesia	20A	AY.23	0.0	179.0	168.0	National Institute of Health Research and Development
Indonesia/BT-NIHRD-WGS02646/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	29.0	2021-04-18	2021-07-08	Indonesia	20A	B.1.459	2893.0	56.0	51.0	National Institute of Health Research and Development
Indonesia/BT-NIHRD-WGS02655/2021	clock_filter_recent,clock_filter_old,clock_plus_rare,rare_mutation	29.0	2021-04-06	2021-07-08	Indonesia	20A	B.1.617.2	693.0	55.0	50.0	National Institute of Health Research and Development
Indonesia/BT-SHSIU-01-9135/2021	clock_filter_lower_limit	-12.0	2021-03-02	2021-04-09	Indonesia	20A	B.1	4260.0	11.0	4.0	Medical Research Center, Faculty of Medicine, Syarif Hidayatullah State Islamic University Jakarta
Indonesia/BT-SHSIU-01-9417/2021	clock_filter_old,clock_filter_lower_limit	-16.0	2021-03-09	2021-04-09	Indonesia	20A	B.1	523.0	7.0	0.0	Medical Research Center, Faculty of Medicine, Syarif Hidayatullah State Islamic University Jakarta
Indonesia/GO-NIHRD-PME20210/2020	clock_filter_old	19.0	2020-04-27	2021-05-05	Indonesia	20A	B.1.346	0.0	25.0	21.0	National Institute of Health Research and Development
Indonesia/JA-GS-EIJK-RSRM-0168/2020	check_clade_dates	19.0	2020-07-29	2021-10-21	Indonesia	21J (Delta)	AY.23	564.0	36.0	4.0	Eijkman Research Center for Molecular Biology, National Research and Innovation Agency; Raden Mattaher Regional General Hospital (RSUD)
