strain,date,region_original,country_original,division,Ns
hCoV-19/Japan/IC-1357/2021,2021-06-11,Asia,Japan,,0
hCoV-19/Morocco/RA207/2021,2021-06-20,Africa,Morocco,,0
hCoV-19/Israel/SMC-7005096/2021,2021-06-28,Asia,Israel,,180
hCoV-19/Netherlands/GR-RIVM-47410/2021,2021-06-30,Europe,Netherlands,Groningen,0
hCoV-19/Belgium/UZA-UA-47848402/2021,2021-07-03,Europe,Belgium,Antwerpen,0
hCoV-19/Germany/NI-RKI-I-187479/2021,2021-07-04,Europe,Germany,Niedersachsen,124
hCoV-19/Northern Ireland/PHEC-M30AM407/2021,2021-07-05,Europe,United Kingdom,Northern Ireland,0
hCoV-19/Belgium/UZA-UA-CV2253887754/2021,2021-07-06,Europe,Belgium,Antwerpen,3
hCoV-19/France/PDL-IPP15314/2021,2021-07-06,Europe,France,Pays de La Loire,475
hCoV-19/France/IDF-HMN-21072080322/2021,2021-07-06,Europe,France,Ile de France,248
hCoV-19/France/GES-HMN-21072120416/2021,2021-07-07,Europe,France,Grand Est,392
hCoV-19/France/BFC-HMN-21072220511/2021,2021-07-07,Europe,France,Bourgogne-France-Comté,254
hCoV-19/Canada/QC-L00365546001/2021,2021-07-08,North America,Canada,Quebec,571
hCoV-19/ITA/ABR-A39164/2021,2021-07-09,Europe,Italy,Abruzzo,0
hCoV-19/France/PAC-IHU-15931-N1/2021,2021-07-09,Europe,France,Provence-Alpes-Côte d'Azur,245
hCoV-19/France/GES-HCL021129369501/2021,2021-07-09,Europe,France,Grand Est,0
hCoV-19/France/CVL-IPP17662/2021,2021-07-09,Europe,France,Centre-Val de Loire,0
hCoV-19/France/GES-HMN-21072150517/2021,2021-07-09,Europe,France,Grand Est,37
hCoV-19/Belgium/MBLGPF354521/2021,2021-07-11,Europe,Belgium,Brussels,11
hCoV-19/Italy/APU-IZSPB-1756PT/2021,2021-07-11,Europe,Italy,Apulia,0
hCoV-19/France/IDF-HMN-21072200508/2021,2021-07-12,Europe,France,Ile de France,295
hCoV-19/France/GES-HMN-21072210171/2021,2021-07-12,Europe,France,Grand Est,553
hCoV-19/Italy/APU-IZSPB-1840PT/2021,2021-07-12,Europe,Italy,Apulia,4
hCoV-19/France/PDL-HCL021129328201/2021,2021-07-13,Europe,France,Pays de la Loire,63
hCoV-19/France/OCC-HCL021129591401/2021,2021-07-13,Europe,France,Occitanie,88
hCoV-19/France/PDL-IPP16044/2021,2021-07-13,Europe,France,Pays de La Loire,0
hCoV-19/France/ARA-HCL021130760001/2021,2021-07-13,Europe,France,Auvergne-Rhône-Alpes,15
hCoV-19/France/GES-HMN-21072160465/2021,2021-07-13,Europe,France,Grand Est,625
hCoV-19/France/GES-HMN-21072190546/2021,2021-07-13,Europe,France,Grand Est,451
hCoV-19/France/GES-HMN-21072200068/2021,2021-07-13,Europe,France,Grand Est,300
hCoV-19/France/OCC-CHU-TLS-212031434301/2021,2021-07-13,Europe,France,Occitanie,272
hCoV-19/Canada/QC-L00367358001/2021,2021-07-14,North America,Canada,Quebec,573
hCoV-19/France/ARA-HCL021129111201/2021,2021-07-15,Europe,France,Auvergne-Rhône-Alpes,0
hCoV-19/Switzerland/GE-HUG-34794097/2021,2021-07-15,Europe,Switzerland,Geneva,166
hCoV-19/Switzerland/VD-CHUV-GEN5702/2021,2021-07-15,Europe,Switzerland,Vaud,0
hCoV-19/France/ARA-HCL021130089501/2021,2021-07-15,Europe,France,Auvergne-Rhône-Alpes,120
hCoV-19/France/ARA-HCL021130379201/2021,2021-07-15,Europe,France,Auvergne-Rhône-Alpes,0
hCoV-19/Belgium/ULG-17391/2021,2021-07-16,Europe,Belgium,Liège,0
hCoV-19/Sweden/7732632992/2021,2021-07-16,Europe,Sweden,Stockholm,0
hCoV-19/France/OCC-CHU-TLS-6002247574/2021,2021-07-16,Europe,France,Occitanie,0
hCoV-19/France/un-HCL021131212901/2021,2021-07-17,Europe,France,,0
hCoV-19/France/IDF-HMN-21072220240/2021,2021-07-17,Europe,France,Ile de France,271
hCoV-19/Spain/PV-HUD-78028448/2021,2021-07-17,Europe,Spain,Basque Country,0
hCoV-19/Belgium/UGent-8699/2021,2021-07-17,Europe,Belgium,Gent,295
hCoV-19/France/IDF-HMN-21072260209/2021,2021-07-18,Europe,France,Ile de France,299
hCoV-19/Germany/BW-RKI-I-197262/2021,2021-07-18,Europe,Germany,Baden-Wuerttemberg,12
hCoV-19/Italy/VEN-IZSVe-21RS8017-6_VR/2021,2021-07-19,Europe,Italy,Veneto,1
hCoV-19/Switzerland/GE-HUG-34827027/2021,2021-07-19,Europe,Switzerland,Geneva,2
hCoV-19/France/ARA-HCL021131987701/2021,2021-07-19,Europe,France,Auvergne-Rhône-Alpes,3
hCoV-19/France/ARA-HCL021132827301/2021,2021-07-19,Europe,France,Auvergne-Rhône-Alpes,297
hCoV-19/Switzerland/BL-ETHZ-33528986/2021,2021-07-19,Europe,Switzerland,Basel-Land,0
hCoV-19/Italy/LIG-190193066/2021,2021-07-19,Europe,Italy,Liguria,135
hCoV-19/France/IDF-HMN-21072290113/21,2021-07-19,Europe,France,Ile de France,352
hCoV-19/Germany/NW-RKI-I-189723/2021,2021-07-20,Europe,Germany,North Rhine Westphalia,128
hCoV-19/Switzerland/GE-DIA-161341682901/2021,2021-07-20,Europe,Switzerland,Geneva,245
hCoV-19/Denmark/DCGC-138451/2021,2021-07-20,Europe,Denmark,Syddanmark,0
hCoV-19/Belgium/CHUNamur13516190/2021,2021-07-20,Europe,Belgium,Luxembourg BE,296
hCoV-19/Belgium/CHUNamur13518380/2021,2021-07-20,Europe,Belgium,Luxembourg BE,569
hCoV-19/Germany/HE-RKI-I-192788/2021,2021-07-20,Europe,Germany,Hesse,259
hCoV-19/France/HDF-IPP18024/2021,2021-07-20,Europe,France,Hauts de France,0
hCoV-19/France/HDF-IPP18027/2021,2021-07-20,Europe,France,Hauts de France,18
hCoV-19/France/HDF-IPP18040/2021,2021-07-20,Europe,France,Hauts de France,0
hCoV-19/France/BRE-IPP18181/2021,2021-07-20,Europe,France,Bretagne,10
hCoV-19/France/IDF-IPP18243/2021,2021-07-20,Europe,France,Ile de France,0
hCoV-19/France/IDF-IPP18244/2021,2021-07-20,Europe,France,Ile de France,0
hCoV-19/France/IDF-IPP18302/2021,2021-07-20,Europe,France,Ile de France,0
hCoV-19/France/CVL-IPP18423/2021,2021-07-20,Europe,France,Centre-Val de Loire,0
hCoV-19/France/PDL-IPP18725/2021,2021-07-20,Europe,France,Pays de La Loire,0
hCoV-19/France/PDL-IPP18751/2021,2021-07-20,Europe,France,Pays de La Loire,171
hCoV-19/France/OCC-HCL021136887901/2021,2021-07-20,Europe,France,Occitanie,0
hCoV-19/USA/FL-CDC-MMB09435169/2021,2021-07-20,North America,USA,Florida,21
hCoV-19/France/GES-HMN-21072260112/2021,2021-07-20,Europe,France,Grand Est,630
hCoV-19/France/IDF-HMN-21072260893/2021,2021-07-20,Europe,France,Ile de France,204
hCoV-19/France/GES-HMN-21072270381/2021,2021-07-20,Europe,France,Grand Est,320
hCoV-19/France/GES-HMN-21072270373/2021,2021-07-20,Europe,France,Grand Est,288
hCoV-19/France/GES-HMN-21072270596/2021,2021-07-20,Europe,France,Grand Est,113
hCoV-19/France/GES-HMN-21072270333/2021,2021-07-20,Europe,France,Grand Est,414
hCoV-19/France/GES-HMN-21072270367/2021,2021-07-20,Europe,France,Grand Est,9
hCoV-19/South Korea/KDCA8614/2021,2021-07-20,Asia,South Korea,,323
hCoV-19/France/NAQ-HCL021141499601/2021,2021-07-20,Europe,France,Nouvelle-Aquitaine,569
hCoV-19/Italy/VEN-IZSVe-21RS8030-5_VI/2021,2021-07-21,Europe,Italy,Veneto,18
hCoV-19/France/GES-HCL021135350501/2021,2021-07-21,Europe,France,Grand Est,33
hCoV-19/France/GES-HMN-21072210131/2021,2021-07-21,Europe,France,Grand Est,254
hCoV-19/France/GES-HCL021140044401/2021,2021-07-21,Europe,France,Grand Est,0
hCoV-19/France/IDF-HMN-21072280119/2021,2021-07-21,Europe,France,Ile de France,0
hCoV-19/Belgium/Jessa_11-2129-004647ZOL/2021,2021-07-22,Europe,Belgium,Limburg BE,431
hCoV-19/France/BFC-HMN-21072280192/2021,2021-07-22,Europe,France,Bourgogne-France-Comté,246
hCoV-19/Belgium/UZA-UA-47843182/2021,2021-07-22,Europe,Belgium,Mechelen,4
